Square Feet,Price,Zip,City,State,Street Address,Bedrooms,Bathrooms,URL,Image,Price/Sqft,Price Category
2565.0,899950,98092,Auburn,WA,12457 S East 305th Pl,5.0,5.0,https://www.redfin.com/WA/Auburn/12457-SE-305th-Pl-98092/home/193379852,https://ssl.cdn-redfin.com/photo/595/islphoto/4AD/genIslnoResize.FDA0465AC4AD_0.jpg,350.85769980506825,Medium-High
1979.0,765000,98092,Auburn,WA,30605 134th Ave SE,3.0,3.0,https://www.redfin.com/WA/Auburn/30605-134th-Ave-SE-98092/home/40089445,https://ssl.cdn-redfin.com/photo/1/islphoto/391/genIslnoResize.2307391_0.jpg,386.5588681152097,Medium-low
2737.0,829000,98092,Auburn,WA,5530 Douglas Ave SE,4.0,4.0,https://www.redfin.com/WA/Auburn/5530-Douglas-Ave-SE-98092/home/35625062,https://ssl.cdn-redfin.com/photo/1/islphoto/348/genIslnoResize.2307348_0.jpg,302.8863719400804,Medium-High
1344.0,129000,98002,Auburn,WA,3611 I St NE 24,2.0,2.0,https://www.redfin.com/WA/Auburn/3611-I-St-NE-98002/unit-24/home/175703963,https://ssl.cdn-redfin.com/photo/1/islphoto/234/genIslnoResize.2306234_0.jpg,95.98214285714286,Low
904.0,420000,98002,Auburn,WA,2613 Pike St SE,3.0,3.0,https://www.redfin.com/WA/Auburn/2613-Pike-St-SE-98002/home/213090,https://ssl.cdn-redfin.com/photo/1/islphoto/110/genIslnoResize.2306110_0.jpg,464.60176991150445,Low
904.0,485000,98002,Auburn,WA,706 4th St SE,2.0,2.0,https://www.redfin.com/WA/Auburn/706-4th-St-SE-98002/home/219213,https://ssl.cdn-redfin.com/photo/1/islphoto/432/genIslnoResize.2293432_0.jpg,536.5044247787611,Low
1456.0,169999,98002,Auburn,WA,1402 22nd St NE 423,2.0,2.0,https://www.redfin.com/WA/Auburn/423-22nd-St-NE-98002/unit-423/home/176041263,https://ssl.cdn-redfin.com/photo/1/islphoto/988/genIslnoResize.2302988_0.jpg,116.75755494505495,Low
3581.0,949900,98092,Auburn,WA,6133 Montevista Dr SE,6.0,6.0,https://www.redfin.com/WA/Auburn/6133-Montevista-Dr-SE-98092/home/3037597,https://ssl.cdn-redfin.com/photo/1/islphoto/099/genIslnoResize.2306099_0.jpg,265.26110025132647,Medium-High
2434.0,685000,98001,Auburn,WA,35031 41st Pl S,4.0,4.0,https://www.redfin.com/WA/Auburn/35031-41st-Pl-S-98001/home/12317861,https://ssl.cdn-redfin.com/photo/1/islphoto/594/genIslnoResize.2305594_0.jpg,281.42974527526707,Medium-low
1930.0,699000,98092,Auburn,WA,21223 SE 351st St,4.0,4.0,https://www.redfin.com/WA/Auburn/21223-SE-351st-St-98092/home/379632,https://ssl.cdn-redfin.com/photo/1/islphoto/873/genIslnoResize.2303873_0.jpg,362.1761658031088,Medium-low
3290.0,799000,98001,Auburn,WA,35011 52nd Ave S,4.0,4.0,https://www.redfin.com/WA/Auburn/35011-52nd-Ave-S-98001/home/364232,https://ssl.cdn-redfin.com/photo/1/islphoto/292/genIslnoResize.2305292_0.jpg,242.85714285714286,Medium-low
1848.0,190000,98002,Auburn,WA,1402 22nd St W 531,3.0,3.0,https://www.redfin.com/WA/Auburn/1402-22nd-St-NE-98002/unit-531/home/193315666,https://ssl.cdn-redfin.com/photo/1/islphoto/341/genIslnoResize.2305341_1.jpg,102.81385281385282,Low
1942.0,900000,98092,Auburn,WA,39606 Auburn Enumclaw Rd SE,3.0,3.0,https://www.redfin.com/WA/Auburn/39606-Auburn-Enumclaw-Rd-SE-98092/home/216776,https://ssl.cdn-redfin.com/photo/1/islphoto/507/genIslnoResize.2305507_0.jpg,463.43975283213183,Medium-High
2616.0,739950,98092,Auburn,WA,29019 121st Way SE,4.0,4.0,https://www.redfin.com/WA/Auburn/29019-121st-Way-SE-98092/home/22525019,https://ssl.cdn-redfin.com/photo/1/islphoto/842/genIslnoResize.2304842_0.jpg,282.85550458715596,Medium-low
932.0,375000,98092,Auburn,WA,1108 59th St SE Unit D14,2.0,2.0,https://www.redfin.com/WA/Auburn/1108-59th-St-SE-98092/unit-D14/home/3006207,https://ssl.cdn-redfin.com/photo/1/islphoto/291/genIslnoResize.2304291_0.jpg,402.3605150214592,Low
1894.0,634900,98092,Auburn,WA,1947 62nd Loop SE,4.0,4.0,https://www.redfin.com/WA/Auburn/1947-62nd-Loop-SE-98092/home/3001217,https://ssl.cdn-redfin.com/photo/1/islphoto/546/genIslnoResize.2304546_0.jpg,335.2164730728617,Medium-low
2350.0,750000,98001,Auburn,WA,31416 55th Ave S,4.0,4.0,https://www.redfin.com/WA/Auburn/31416-55th-Ave-S-98001/home/212536,https://ssl.cdn-redfin.com/photo/1/islphoto/699/genIslnoResize.2303699_1.jpg,319.1489361702128,Medium-low
