Square Feet,Price,Zip,City,State,Street Address,Bedrooms,Bathrooms,URL,Image
920,418000,98002,Auburn,WA,421 A St NE,2,2,https://www.redfin.com/WA/Auburn/421-A-St-NE-98002/home/218256,https://ssl.cdn-redfin.com/photo/1/islphoto/699/genIslnoResize.2296699_0.jpg
5092,1780000,98001,Auburn,WA,102 D St SW,9,9,https://www.redfin.com/WA/Auburn/102-D-St-SW-98001/home/2090405,https://ssl.cdn-redfin.com/photo/1/islphoto/057/genIslnoResize.2297057_0.jpg
3930,929000,98092,Auburn,WA,5622 Franklin Ave SE,4,4,https://www.redfin.com/WA/Auburn/5622-Franklin-Ave-SE-98092/home/35625014,https://ssl.cdn-redfin.com/photo/1/islphoto/665/genIslnoResize.2294665_0.jpg
1640,599000,98092,Auburn,WA,5407 Lakeland Hills Way SE,3,3,https://www.redfin.com/WA/Auburn/5407-Lakeland-Hills-Way-SE-98092/home/217046,https://ssl.cdn-redfin.com/photo/1/islphoto/056/genIslnoResize.2294056_1.jpg
4200,1100000,98092,Auburn,WA,32557 107th Ave SE,4,4,https://www.redfin.com/WA/Auburn/32557-107th-Ave-SE-98092/home/406463,https://ssl.cdn-redfin.com/photo/1/islphoto/536/genIslnoResize.2293536_0.jpg
2039,774950,98001,Auburn,WA,29368 58th Ct S,4,4,https://www.redfin.com/WA/Unknown/29368-58th-Ct-S-Unknown/home/184532662,https://ssl.cdn-redfin.com/photo/1/islphoto/522/genIslnoResize.2288522_0.jpg
3600,775000,98092,Auburn,WA,29705 109th Ave SE,4,4,https://www.redfin.com/WA/Auburn/29705-109th-Ave-SE-98092/home/405050,https://ssl.cdn-redfin.com/photo/1/islphoto/448/genIslnoResize.2294448_1.jpg
1860,826920,98092,Auburn,WA,12424 SE 305th Pl,3,3,https://www.redfin.com/WA/Auburn/12424-SE-305th-Pl-98092/home/192744183,https://ssl.cdn-redfin.com/photo/595/islphoto/B12/genIslnoResize.CCE9A4FDDB12_0.jpg
750,315000,98092,Auburn,WA,6014 Lindsay Ave SE Unit F11,1,1,https://www.redfin.com/WA/Auburn/6014-Lindsay-Ave-SE-98092/unit-F11/home/3002222,https://ssl.cdn-redfin.com/photo/1/islphoto/354/genIslnoResize.2289354_0.jpg
2597,879683,98092,Auburn,WA,12404 SE 305th Pl,5,5,https://www.redfin.com/WA/Auburn/12404-SE-305th-Pl-98092/home/192650011,https://ssl.cdn-redfin.com/photo/595/islphoto/23D/genIslnoResize.4D038B1B323D_1.jpg
3335,899999,98001,Auburn,WA,5665 S 328th Pl,4,4,https://www.redfin.com/WA/Auburn/5665-S-328th-Pl-98001/home/101611335,https://ssl.cdn-redfin.com/photo/1/islphoto/083/genIslnoResize.2293083_1.jpg
1860,815612,98092,Auburn,WA,12433 SE 305th Pl,3,3,https://www.redfin.com/WA/Auburn/12433-SE-305th-Pl-98092/home/192629316,https://ssl.cdn-redfin.com/photo/595/islphoto/48F/genIslnoResize.C3D5F3AB448F_0.jpg
1629,814353,98092,Auburn,WA,12405 SE 305th Pl,3,3,https://www.redfin.com/WA/Auburn/12405-SE-305th-Pl-98092/home/192629294,https://ssl.cdn-redfin.com/photo/595/islphoto/238/genIslnoResize.8ECA16F98238_1.jpg
2228,809200,98092,Auburn,WA,12411 SE 305th Pl,3,3,https://www.redfin.com/WA/Auburn/12411-SE-305th-Pl-98092/home/192629283,https://ssl.cdn-redfin.com/photo/595/islphoto/744/genIslnoResize.37D10085F744_1.jpg
1360,799950,98092,Auburn,WA,30630 168th Ave SE,3,3,https://www.redfin.com/WA/Auburn/30630-168th-Ave-SE-98092/home/380318,https://ssl.cdn-redfin.com/photo/1/islphoto/351/genIslnoResize.2292351_1.jpg
2448,799990,98001,Auburn,WA,4563 S 328th Ct,5,5,https://www.redfin.com/WA/Auburn/4563-S-328th-Ct-98001/home/188727135,https://ssl.cdn-redfin.com/photo/595/islphoto/BAB/genIslnoResize.3A33A7D5BBAB_0.jpg
1152,160000,98002,Auburn,WA,707 37th St SE 28,2,2,https://www.redfin.com/WA/Auburn/707-37th-St-SE-98002/unit-28/home/181739845,https://ssl.cdn-redfin.com/photo/1/islphoto/794/genIslnoResize.2290794_0.jpg
1248,125000,98002,Auburn,WA,1402 22nd St NE 27,2,2,https://www.redfin.com/WA/Auburn/1402-22nd-St-NE-98002/unit-27/home/166866814,https://ssl.cdn-redfin.com/photo/1/islphoto/305/genIslnoResize.2289305_0.jpg
2630,719950,98092,Auburn,WA,6326 Rebecca Ave SE,5,5,https://www.redfin.com/WA/Auburn/6326-Rebecca-Ave-SE-98092/home/2953762,https://ssl.cdn-redfin.com/photo/1/islphoto/865/genIslnoResize.2289865_0.jpg
2330,779950,98092,Auburn,WA,Plan 2330 Plan,4,4,https://www.redfin.com/WA/Auburn/Auburn/Plan-2330/home/192535251,https://ssl.cdn-redfin.com/photo/595/islphoto/AD0/genIslnoResize.499CF2454AD0_1.jpg
1870,749950,98092,Auburn,WA,Plan 1870 Plan,3,3,https://www.redfin.com/WA/Auburn/Auburn/Plan-1870/home/192535248,https://ssl.cdn-redfin.com/photo/595/islphoto/87F/genIslnoResize.1812F3EBB87F_1.jpg
1080,550000,98092,Auburn,WA,3206 20th St SE,3,3,https://www.redfin.com/WA/Auburn/3206-20th-St-SE-98092/home/217354,https://ssl.cdn-redfin.com/photo/1/islphoto/512/genIslnoResize.2288512_4.jpg
1280,599950,98092,Auburn,WA,30615 115th Ct SE,3,3,https://www.redfin.com/WA/Auburn/30615-115th-Ct-SE-98092/home/407717,https://ssl.cdn-redfin.com/photo/1/islphoto/622/genIslnoResize.2286622_3.jpg
2925,859950,98092,Auburn,WA,Plan 2925 Plan,5,5,https://www.redfin.com/WA/Auburn/Auburn/Plan-2925/home/192385634,https://ssl.cdn-redfin.com/photo/595/islphoto/EED/genIslnoResize.5047589FDEED_1.jpg
2745,839950,98092,Auburn,WA,Plan 2745 Plan,4,4,https://www.redfin.com/WA/Auburn/Auburn/Plan-2745/home/192385620,https://ssl.cdn-redfin.com/photo/595/islphoto/E44/genIslnoResize.BE597DD09E44_1.jpg
1630,759950,98092,Auburn,WA,Plan 1630 Plan,3,3,https://www.redfin.com/WA/Auburn/Auburn/Plan-1630/home/192385612,https://ssl.cdn-redfin.com/photo/595/islphoto/30D/genIslnoResize.040E230C830D_1.jpg
1860,779950,98092,Auburn,WA,Plan 1860 Plan,3,3,https://www.redfin.com/WA/Auburn/Auburn/Plan-1860/home/192385605,https://ssl.cdn-redfin.com/photo/595/islphoto/59B/genIslnoResize.8085ED54659B_0.jpg
1990,799950,98092,Auburn,WA,Plan 1990 Plan,3,3,https://www.redfin.com/WA/Auburn/Auburn/Plan-1990/home/192385593,https://ssl.cdn-redfin.com/photo/595/islphoto/35C/genIslnoResize.D4D1EE3D035C_1.jpg
2350,779950,98092,Auburn,WA,Plan 2350 Modeled Plan,3,3,https://www.redfin.com/WA/Auburn/Auburn/Plan-2350-Modeled/home/192385592,https://ssl.cdn-redfin.com/photo/595/islphoto/A2C/genIslnoResize.FD816B5E9A2C_1.jpg
2350,834681,98092,Auburn,WA,12441 SE 305th Pl,4,4,https://www.redfin.com/WA/Auburn/12441-SE-305th-Pl-98092/home/192385579,https://ssl.cdn-redfin.com/photo/595/islphoto/AEC/genIslnoResize.6F3846B05AEC_1.jpg
2230,769950,98092,Auburn,WA,Plan 2230 Plan,3,3,https://www.redfin.com/WA/Auburn/Auburn/Plan-2230/home/192385566,https://ssl.cdn-redfin.com/photo/595/islphoto/B91/genIslnoResize.F72C1B1E1B91_1.jpg
